id,quantite_vendue
1,16
2,13
3,16
4,15
5,18
6,16
7,13
8,18
9,13
10,17
11,14
12,14
13,12
14,14
15,13
16,14
17,15
18,15
19,12
20,15
21,12
22,14
23,17
24,17
25,15
26,12
27,14
28,12
29,14
30,12
31,14
32,12
33,16
34,11
35,12
36,15
37,16
38,12
39,12
40,15
41,13
42,16
43,15
44,16
45,11
46,12
47,15
48,14
49,16
50,16
51,14
52,16
53,17
54,16
55,14
56,13
57,15
58,12
59,14
60,14
61,14
62,12
63,13
64,15
65,11
66,14
67,14
68,15
69,18
70,13
71,12
72,16
73,12
74,17
75,15
76,15
77,11
78,12
79,13
80,12
81,15
82,13
83,14
84,16
85,17
86,14
87,12
88,12
89,15
90,14
91,16
92,16
93,16
94,14
95,13
96,12
97,13
98,18
99,12
100,12
101,13
102,11
103,17
104,13
105,16
106,16
107,14
108,12
109,14
110,16
111,12
112,18
113,14
114,11
115,16
116,15
117,15
118,16
119,16
120,14
121,11
122,14
123,14
124,13
125,17
126,16
127,14
128,16
129,16
130,14
131,14
132,16
133,12
134,14
135,12
136,14
137,14
138,14
139,12
140,17
141,11
142,16
143,17
144,12
145,16
146,16
147,17
148,15
149,13
150,15
151,11
152,13
153,17
154,16
155,12
156,14
157,11
158,14
159,15
160,14
161,14
162,12
163,11
164,15
165,12
166,18
167,16
168,12
169,12
170,16
171,14
172,12
173,15
174,15
175,14
176,15
177,17
178,15
179,15
180,15
181,14
182,14
183,14
184,17
185,12
186,11
187,15
188,12
189,12
190,15
191,11
192,12
193,17
194,15
195,17
196,15
197,13
198,11
199,14
200,13
201,15
202,15
203,12
204,13
205,15
206,12
207,18
208,11
209,16
210,17
211,13
212,16
213,13
214,13
215,14
216,13
217,12
218,12
219,17
220,12
221,12
222,14
223,16
224,12
225,14
226,15
227,13
228,11
229,12
230,15
231,15
232,16
233,15
234,13
235,12
236,12
237,13
238,18
239,12
240,13
241,11
242,16
243,18
244,15
245,13
246,15
247,12
248,14
249,12
250,16
251,14
252,12
253,12
254,14
255,14
256,15
257,12
258,15
259,12
260,15
261,15
262,15
263,12
264,12
265,14
266,12
267,15
268,13
269,16
270,14
271,14
272,14
273,15
274,12
275,15
276,14
277,15
278,15
279,13
280,14
281,13
282,14
283,16
284,17
285,16
286,14
287,16
288,14
289,15
290,16
291,17
292,13
293,12
294,12
295,12
296,14
297,12
298,13
299,17
300,16
301,13
302,14
303,16
304,14
305,15
306,11
307,16
308,13
309,14
310,16
311,18
312,11
313,17
314,12
315,16
316,13
317,16
318,15
319,12
320,14
321,14
322,14
323,14
324,13
325,14
326,17
327,16
328,18
329,14
330,15
331,15
332,15
333,15
334,18
335,14
336,15
337,14
338,14
339,12
340,15
341,12
342,13
343,15
344,12
345,13
346,15
347,15
348,15
349,11
350,11
351,14
352,14
353,16
354,13
355,11
356,12
357,14
358,12
359,14
360,11
361,15
362,18
363,17
364,11
365,14
366,16
367,17
368,13
369,15
370,12
371,11
372,14
373,11
374,14
375,15
376,12
377,17
378,16
379,16
380,17
381,11
382,15
383,15
384,14
385,11
386,15
387,13
388,13
389,15
390,16
391,12
392,13
393,16
394,12
395,15
396,17
397,12
398,12
399,12
400,12
401,16
402,15
403,13
404,13
405,14
406,13
407,12
408,11
409,15
410,12
411,12
412,15
413,17
414,15
415,15
416,16
417,18
418,15
419,12
420,11
421,16
422,15
423,12
424,15
425,12
426,14
427,16
428,12
429,16
430,12
431,12
432,16
433,18
434,14
435,15
436,11
437,14
438,16
439,15
440,17
441,12
442,16
443,17
444,16
445,14
446,16
447,11
448,13
449,16
450,16
451,12
452,12
453,12
454,16
455,15
456,14
457,12
458,16
459,13
460,14
461,14
462,11
463,14
464,12
465,14
466,13
467,17
468,16
469,15
470,18
471,14
472,12
473,15
474,17
475,18
476,15
477,18
478,15
479,13
480,14
481,15
482,14
483,11
484,13
485,17
486,15
487,14
488,18
489,14
490,14
491,12
492,12
493,13
494,15
495,14
496,15
497,15
498,15
499,15
500,13
501,16
502,12
503,12
504,14
505,14
506,12
507,13
508,14
509,12
510,15
511,14
512,15
513,17
514,14
515,12
516,17
517,17
518,18
519,12
520,12
521,14
522,15
523,15
524,12
525,12
526,12
527,17
528,11
529,14
530,11
531,12
532,12
533,12
534,14
535,15
536,11
537,14
538,15
539,14
540,14
541,16
542,15
543,11
544,12
545,16
546,15
547,12
548,12
549,14
550,16
551,18
552,16
553,12
554,15
555,12
556,15
557,15
558,13
559,17
560,15
561,14
562,12
563,14
564,12
565,14
566,15
567,16
568,13
569,15
570,13
571,17
572,15
573,15
574,12
575,14
576,14
577,13
578,15
579,12
580,12
581,15
582,15
583,18
584,15
585,17
586,11
587,13
588,18
589,12
590,14
591,17
592,16
593,12
594,17
595,18
596,14
597,17
598,14
599,11
600,12
601,12
602,17
603,12
604,17
605,13
606,15
607,15
608,12
609,14
610,16
611,15
612,12
613,14
614,13
615,16
616,13
617,16
618,16
619,14
620,15
621,15
622,13
623,15
624,15
625,16
626,14
627,16
628,16
629,12
630,17
631,13
632,14
633,14
634,17
635,15
636,15
637,16
638,15
639,16
640,16
641,14
642,12
643,12
644,15
645,16
646,15
647,18
648,12
649,17
650,14
651,14
652,12
653,16
654,12
655,12
656,12
657,17
658,16
659,13
660,16
661,11
662,14
663,16
664,15
665,12
666,14
667,16
668,14
669,12
670,12
671,12
672,14
673,15
674,11
675,15
676,13
677,16
678,16
679,14
680,13
681,14
682,15
683,14
684,12
685,12
686,14
687,14
688,13
689,12
690,17
691,16
692,13
693,12
694,11
695,14
696,11
697,15
698,13
699,14
700,13
701,16
702,12
703,15
704,12
705,17
706,15
707,14
708,13
709,15
710,12
711,15
712,17
713,14
714,12
715,15
716,16
717,12
718,12
719,15
720,14
721,14
722,13
723,12
724,13
725,15
726,13
727,11
728,16
729,14
730,15
731,13
732,16
733,15
734,12
735,14
736,12
737,14
738,15
739,15
740,13
741,12
742,15
743,15
744,11
745,14
746,14
747,16
748,12
749,11
750,12
751,16
752,14
753,12
754,14
755,17
756,14
757,11
758,17
759,15
760,11
761,15
762,11
763,12
764,15
765,17
766,14
767,17
768,13
769,13
770,14
771,13
772,16
773,15
774,18
775,14
776,17
777,14
778,15
779,17
780,14
781,14
782,15
783,11
784,15
785,15
786,11
787,15
788,12
789,14
790,12
791,16
792,13
793,11
794,16
795,12
796,15
797,15
798,16
799,14
800,11
801,16
802,14
803,14
804,18
805,14
806,14
807,18
808,14
809,12
810,12
811,12
812,17
813,12
814,14
815,15
816,15
817,15
818,15
819,18
820,14
821,12
822,15
823,14
824,15
825,16
826,17
827,15
828,14
829,13
830,14
831,14
832,15
833,15
834,12
835,15
836,16
837,12
838,13
839,14
840,14
841,15
842,11
843,15
844,17
845,11
846,15
847,16
848,14
849,16
850,12
851,15
852,12
853,14
854,13
855,12
856,14
857,15
858,18
859,17
860,14
861,12
862,12
863,12
864,17
865,12
866,14
867,15
868,15
869,13
870,14
871,15
872,16
873,14
874,13
875,12
876,12
877,15
878,13
879,15
880,12
881,12
882,12
883,14
884,16
885,15
886,12
887,16
888,15
889,12
890,12
891,12
892,12
893,14
894,17
895,13
896,12
897,16
898,15
899,15
900,12
901,14
902,14
903,13
904,15
905,12
906,15
907,14
908,14
909,14
910,14
911,12
912,16
913,12
914,15
915,16
916,16
917,14
918,11
919,15
920,11
921,15
922,13
923,15
924,16
925,15
926,14
927,14
928,12
929,15
930,16
931,17
932,12
933,15
934,15
935,16
936,16
937,14
938,17
939,16
940,18
941,14
942,17
943,17
944,16
945,14
946,13
947,12
948,15
949,14
950,16
951,12
952,14
953,14
954,13
955,18
956,15
957,12
958,15
959,12
960,12
961,17
962,11
963,17
964,16
965,16
966,12
967,14
968,12
969,14
970,16
971,12
972,11
973,14
974,14
975,13
976,15
977,17
978,13
979,15
980,16
981,12
982,12
983,16
984,14
985,16
986,14
987,15
988,14
989,15
990,17
991,18
992,15
993,15
994,14
995,13
996,17
997,12
998,14
999,15
1000,14
1001,12
1002,17
1003,12
1004,14
1005,14
1006,13
1007,12
1008,15
1009,17
1010,15
1011,14
1012,14
1013,14
1014,15
1015,12
1016,14
1017,14
1018,12
1019,12
1020,18
1021,14
1022,13
1023,13
1024,11
1025,17
1026,16
1027,15
1028,12
1029,14
1030,18
1031,16
1032,13
1033,12
1034,14
1035,16
1036,14
1037,12
1038,16
1039,16
1040,13
1041,16
1042,12
1043,14
1044,14
1045,11
1046,14
1047,18
1048,14
1049,16
1050,14
1051,12
1052,10
1053,15
1054,14
1055,15
1056,15
1057,15
1058,12
1059,16
1060,14
1061,17
1062,15
1063,15
1064,16
1065,17
1066,18
1067,12
1068,15
1069,12
1070,12
1071,15
1072,14
1073,13
1074,12
1075,15
1076,12
1077,13
1078,14
1079,13
1080,16
1081,15
1082,12
1083,13
1084,13
1085,16
1086,15
1087,16
1088,15
1089,16
1090,12
1091,12
1092,16
1093,12
1094,15
1095,16
1096,12
1097,16
1098,14
1099,14
1100,14
1101,18
1102,12
1103,12
1104,17
1105,12
1106,12
1107,16
1108,11
1109,11
1110,14
1111,12
1112,17
1113,16
1114,14
1115,14
1116,15
1117,11
1118,15
1119,16
1120,16
1121,12
1122,17
1123,13
1124,12
1125,12
1126,18
1127,15
1128,12
1129,11
1130,18
1131,15
1132,14
1133,13
1134,16
1135,14
1136,12
1137,15
1138,14
1139,15
1140,12
1141,12
1142,17
1143,16
1144,15
1145,12
1146,16
1147,11
1148,15
1149,14
1150,11
1151,15
1152,12
1153,15
1154,14
1155,15
1156,14
1157,16
1158,17
1159,14
1160,13
1161,13
1162,17
1163,15
1164,11
1165,16
1166,15
1167,17
1168,15
1169,12
1170,14
1171,15
1172,14
1173,12
1174,15
1175,11
1176,12
1177,15
1178,18
1179,13
1180,16
1181,11
1182,16
1183,12
1184,14
1185,16
1186,14
1187,15
1188,15
1189,16
1190,14
1191,16
1192,15
1193,12
1194,12
1195,11
1196,15
1197,11
1198,12
1199,12
1200,14
1201,13
1202,16
1203,17
1204,14
1205,15
1206,15
1207,12
1208,13
1209,18
1210,11
1211,17
1212,15
1213,13
1214,12
1215,13
1216,15
1217,11
1218,17
1219,12
1220,14
1221,14
1222,12
1223,15
1224,12
1225,15
1226,13
1227,14
1228,12
1229,16
1230,11
1231,15
1232,16
1233,15
1234,16
1235,17
1236,11
1237,15
1238,18
1239,13
1240,14
1241,16
1242,12
1243,16
1244,16
1245,14
1246,16
1247,13
1248,16
1249,12
1250,15
1251,17
1252,18
1253,16
1254,12
1255,12
1256,10
1257,11
1258,17
1259,16
1260,17
1261,15
1262,15
1263,12
1264,15
1265,11
1266,14
1267,14
1268,14
1269,14
1270,16
1271,16
1272,16
1273,14
1274,13
1275,15
1276,16
1277,17
1278,14
1279,16
1280,15
1281,18
1282,15
1283,13
1284,17
1285,15
1286,16
1287,13
1288,16
1289,15
1290,13
1291,15
1292,12
1293,16
1294,14
1295,14
1296,17
1297,13
1298,15
1299,15
1300,14
1301,15
1302,16
1303,12
1304,17
1305,11
1306,16
1307,13
1308,12
1309,18
1310,12
1311,15
1312,16
1313,15
1314,14
1315,13
1316,15
1317,13
1318,14
1319,18
1320,14
1321,14
1322,13
1323,15
1324,18
1325,13
1326,16
1327,12
1328,13
1329,17
1330,15
1331,14
1332,12
1333,17
1334,12
1335,15
1336,12
1337,15
1338,12
1339,12
1340,13
1341,15
1342,14
1343,12
1344,12
1345,17
1346,16
1347,15
1348,15
1349,12
1350,14
1351,15
1352,14
1353,12
1354,13
1355,15
1356,15
1357,14
1358,12
1359,12
1360,14
1361,15
1362,16
1363,13
1364,16
1365,15
1366,14
1367,14
1368,10
1369,14
1370,17
1371,12
1372,15
1373,14
1374,13
1375,18
1376,14
1377,16
1378,12
1379,14
1380,15
1381,12
1382,12
1383,12
1384,16
1385,13
1386,11
1387,12
1388,13
1389,15
1390,18
1391,16
1392,16
1393,17
1394,15
1395,16
1396,12
1397,14
1398,15
1399,15
1400,15
1401,16
1402,12
1403,12
1404,16
1405,14
1406,15
1407,15
1408,16
1409,15
1410,12
1411,16
1412,15
1413,16
1414,17
1415,13
1416,11
1417,16
1418,12
1419,12
1420,11
1421,18
1422,12
1423,16
1424,13
1425,13
1426,16
1427,13
1428,15
1429,11
1430,13
1431,16
1432,15
1433,13
1434,16
1435,15
1436,15
1437,15
1438,15
1439,17
1440,12
1441,13
1442,12
1443,18
1444,15
1445,16
1446,14
1447,12
1448,13
1449,14
1450,11
1451,13
1452,15
1453,14
1454,13
1455,14
1456,14
1457,15
1458,11
1459,14
1460,12
1461,12
1462,15
1463,12
1464,13
1465,12
1466,12
1467,13
1468,14
1469,12
1470,15
1471,13
1472,15
1473,17
1474,14
1475,12
1476,14
1477,12
1478,16
1479,14
1480,16
1481,16
1482,12
1483,16
1484,12
1485,15
1486,14
1487,15
1488,14
1489,16
1490,14
1491,12
1492,16
1493,14
1494,16
1495,16
1496,14
1497,14
1498,17
1499,16
1500,17
1501,15
1502,12
1503,11
1504,15
1505,12
1506,13
1507,13
1508,17
1509,16
1510,12
1511,13
1512,17
1513,15
1514,15
1515,12
1516,12
1517,15
1518,11
1519,17
1520,15
1521,12
1522,16
1523,14
1524,15
1525,16
1526,16
1527,12
1528,12
1529,12
1530,15
1531,12
1532,17
1533,14
1534,16
1535,18
1536,11
1537,12
1538,16
1539,16
1540,14
1541,15
1542,16
1543,15
1544,14
1545,13
1546,16
1547,11
1548,11
1549,12
1550,18
1551,14
1552,14
1553,15
1554,13
1555,12
1556,17
1557,15
1558,18
1559,14
1560,14
1561,15
1562,17
1563,18
1564,12
1565,14
1566,12
1567,11
1568,11
1569,15
1570,12
1571,13
1572,12
1573,15
1574,14
1575,16
1576,18
1577,14
1578,12
1579,16
1580,13
1581,15
1582,18
1583,12
1584,17
1585,16
1586,18
1587,14
1588,16
1589,12
1590,15
1591,14
1592,18
1593,13
1594,15
1595,14
1596,12
1597,12
1598,14
1599,14
1600,17
1601,15
1602,12
1603,14
1604,15
1605,16
1606,17
1607,13
1608,15
1609,15
1610,17
1611,12
1612,12
1613,17
1614,16
1615,12
1616,14
1617,16
1618,12
1619,15
1620,12
1621,16
1622,16
1623,14
1624,12
1625,14
1626,13
1627,15
1628,18
1629,17
1630,17
1631,14
1632,13
1633,15
1634,15
1635,15
1636,12
1637,16
1638,16
1639,12
1640,12
1641,17
1642,12
1643,11
1644,13
1645,12
1646,16
1647,16
1648,11
1649,14
1650,12
1651,14
1652,15
1653,12
1654,12
1655,12
1656,11
1657,12
1658,16
1659,17
1660,17
1661,16
1662,13
1663,14
1664,13
1665,11
1666,17
1667,12
1668,11
1669,16
1670,17
1671,12
1672,12
1673,14
1674,16
1675,15
1676,11
1677,10
1678,14
1679,14
1680,13
1681,18
1682,15
1683,14
1684,16
1685,12
1686,15
1687,13
1688,14
1689,16
1690,10
1691,14
1692,12
1693,18
1694,12
1695,14
1696,15
1697,14
1698,16
1699,18
1700,18
1701,12
1702,11
1703,13
1704,14
1705,16
1706,17
1707,17
1708,11
1709,14
1710,15
1711,12
1712,11
1713,17
1714,14
1715,16
1716,15
1717,11
1718,14
1719,13
1720,14
1721,14
1722,13
1723,16
1724,17
1725,14
1726,15
1727,18
1728,12
1729,13
1730,18
1731,12
1732,16
1733,12
1734,12
1735,14
1736,13
1737,15
1738,14
1739,15
1740,11
1741,18
1742,17
1743,15
1744,17
1745,12
1746,14
1747,13
1748,12
1749,17
1750,12
1751,16
1752,14
1753,15
1754,11
1755,14
1756,16
1757,14
1758,14
1759,16
1760,16
1761,12
1762,16
1763,15
1764,16
1765,12
1766,12
1767,16
1768,17
1769,13
1770,12
1771,13
1772,12
1773,16
1774,15
1775,12
1776,12
1777,15
1778,12
1779,15
1780,12
1781,12
1782,12
1783,15
1784,12
1785,12
1786,14
1787,17
1788,15
1789,16
1790,18
1791,14
