id,quantite_vendue
1,17.0
2,14.0
3,16.0
4,15.0
5,18.0
6,16.0
7,14.0
8,17.0
9,14.0
10,18.0
11,14.0
12,15.0
13,12.0
14,14.0
15,13.0
16,14.0
17,15.0
18,15.0
19,12.0
20,15.0
21,12.0
22,14.0
23,16.0
24,18.0
25,15.0
26,13.0
27,14.0
28,13.0
29,14.0
30,12.0
31,14.0
32,12.0
33,16.0
34,11.0
35,13.0
36,15.0
37,16.0
38,12.0
39,13.0
40,15.0
41,13.0
42,17.0
43,14.0
44,16.0
45,12.0
46,12.0
47,14.0
48,14.0
49,16.0
50,16.0
51,14.0
52,16.0
53,18.0
54,16.0
55,14.0
56,14.0
57,15.0
58,12.0
59,14.0
60,14.0
61,14.0
62,13.0
63,13.0
64,15.0
65,11.0
66,14.0
67,14.0
68,15.0
69,18.0
70,13.0
71,13.0
72,16.0
73,13.0
74,17.0
75,15.0
76,15.0
77,11.0
78,13.0
79,14.0
80,12.0
81,15.0
82,13.0
83,14.0
84,16.0
85,18.0
86,14.0
87,13.0
88,13.0
89,15.0
90,14.0
91,16.0
92,16.0
93,16.0
94,14.0
95,13.0
96,14.0
97,13.0
98,18.0
99,12.0
100,13.0
101,13.0
102,11.0
103,18.0
104,14.0
105,16.0
106,16.0
107,14.0
108,13.0
109,14.0
110,16.0
111,12.0
112,18.0
113,14.0
114,11.0
115,16.0
116,15.0
117,15.0
118,16.0
119,16.0
120,14.0
121,11.0
122,14.0
123,14.0
124,13.0
125,18.0
126,16.0
127,15.0
128,17.0
129,16.0
130,15.0
131,15.0
132,16.0
133,13.0
134,14.0
135,13.0
136,14.0
137,14.0
138,14.0
139,13.0
140,17.0
141,11.0
142,16.0
143,18.0
144,13.0
145,16.0
146,15.0
147,17.0
148,15.0
149,14.0
150,15.0
151,11.0
152,13.0
153,16.0
154,16.0
155,13.0
156,14.0
157,11.0
158,15.0
159,15.0
160,15.0
161,15.0
162,13.0
163,12.0
164,14.0
165,13.0
166,17.0
167,17.0
168,13.0
169,12.0
170,16.0
171,14.0
172,13.0
173,14.0
174,15.0
175,14.0
176,14.0
177,18.0
178,16.0
179,15.0
180,16.0
181,14.0
182,14.0
183,15.0
184,17.0
185,13.0
186,11.0
187,14.0
188,13.0
189,12.0
190,14.0
191,11.0
192,13.0
193,17.0
194,15.0
195,18.0
196,15.0
197,13.0
198,11.0
199,14.0
200,14.0
201,15.0
202,15.0
203,12.0
204,13.0
205,16.0
206,12.0
207,17.0
208,11.0
209,15.0
210,18.0
211,13.0
212,16.0
213,13.0
214,13.0
215,15.0
216,14.0
217,13.0
218,13.0
219,18.0
220,13.0
221,14.0
222,14.0
223,16.0
224,13.0
225,14.0
226,15.0
227,14.0
228,11.0
229,13.0
230,15.0
231,15.0
232,16.0
233,15.0
234,13.0
235,12.0
236,12.0
237,13.0
238,18.0
239,12.0
240,14.0
241,11.0
242,16.0
243,17.0
244,15.0
245,13.0
246,15.0
247,13.0
248,14.0
249,13.0
250,16.0
251,14.0
252,13.0
253,13.0
254,15.0
255,14.0
256,15.0
257,13.0
258,16.0
259,13.0
260,15.0
261,15.0
262,15.0
263,13.0
264,12.0
265,15.0
266,12.0
267,15.0
268,13.0
269,16.0
270,14.0
271,14.0
272,14.0
273,14.0
274,12.0
275,15.0
276,14.0
277,16.0
278,15.0
279,13.0
280,14.0
281,13.0
282,15.0
283,16.0
284,18.0
285,16.0
286,15.0
287,16.0
288,14.0
289,15.0
290,16.0
291,17.0
292,13.0
293,12.0
294,13.0
295,12.0
296,14.0
297,14.0
298,13.0
299,18.0
300,16.0
301,14.0
302,14.0
303,16.0
304,14.0
305,15.0
306,11.0
307,16.0
308,13.0
309,14.0
310,16.0
311,18.0
312,11.0
313,17.0
314,12.0
315,16.0
316,13.0
317,16.0
318,15.0
319,13.0
320,14.0
321,14.0
322,14.0
323,15.0
324,13.0
325,14.0
326,18.0
327,16.0
328,18.0
329,14.0
330,15.0
331,15.0
332,16.0
333,15.0
334,17.0
335,14.0
336,15.0
337,14.0
338,14.0
339,13.0
340,15.0
341,13.0
342,13.0
343,14.0
344,12.0
345,14.0
346,15.0
347,15.0
348,15.0
349,11.0
350,11.0
351,15.0
352,15.0
353,16.0
354,14.0
355,11.0
356,12.0
357,14.0
358,13.0
359,14.0
360,11.0
361,15.0
362,18.0
363,18.0
364,11.0
365,14.0
366,16.0
367,18.0
368,13.0
369,15.0
370,13.0
371,11.0
372,14.0
373,11.0
374,14.0
375,15.0
376,12.0
377,18.0
378,16.0
379,16.0
380,17.0
381,11.0
382,16.0
383,15.0
384,14.0
385,11.0
386,15.0
387,13.0
388,14.0
389,15.0
390,16.0
391,13.0
392,13.0
393,16.0
394,13.0
395,15.0
396,17.0
397,12.0
398,12.0
399,12.0
400,13.0
401,16.0
402,15.0
403,13.0
404,13.0
405,15.0
406,13.0
407,12.0
408,11.0
409,15.0
410,13.0
411,13.0
412,15.0
413,17.0
414,15.0
415,15.0
416,16.0
417,18.0
418,16.0
419,13.0
420,11.0
421,16.0
422,14.0
423,12.0
424,15.0
425,12.0
426,14.0
427,16.0
428,13.0
429,16.0
430,13.0
431,13.0
432,16.0
433,18.0
434,14.0
435,15.0
436,11.0
437,14.0
438,16.0
439,15.0
440,17.0
441,13.0
442,16.0
443,19.0
444,16.0
445,14.0
446,16.0
447,11.0
448,14.0
449,16.0
450,16.0
451,12.0
452,13.0
453,13.0
454,16.0
455,16.0
456,14.0
457,12.0
458,16.0
459,14.0
460,14.0
461,15.0
462,11.0
463,15.0
464,13.0
465,14.0
466,13.0
467,16.0
468,16.0
469,15.0
470,17.0
471,14.0
472,12.0
473,15.0
474,18.0
475,18.0
476,16.0
477,17.0
478,14.0
479,14.0
480,14.0
481,15.0
482,14.0
483,11.0
484,14.0
485,16.0
486,15.0
487,14.0
488,17.0
489,14.0
490,14.0
491,13.0
492,12.0
493,13.0
494,15.0
495,14.0
496,14.0
497,15.0
498,15.0
499,15.0
500,14.0
501,16.0
502,12.0
503,13.0
504,14.0
505,15.0
506,13.0
507,14.0
508,14.0
509,12.0
510,15.0
511,14.0
512,15.0
513,17.0
514,14.0
515,13.0
516,18.0
517,18.0
518,17.0
519,13.0
520,12.0
521,14.0
522,16.0
523,15.0
524,12.0
525,13.0
526,12.0
527,18.0
528,11.0
529,15.0
530,11.0
531,13.0
532,13.0
533,12.0
534,14.0
535,15.0
536,11.0
537,14.0
538,15.0
539,14.0
540,14.0
541,16.0
542,14.0
543,11.0
544,13.0
545,16.0
546,14.0
547,12.0
548,12.0
549,14.0
550,16.0
551,18.0
552,16.0
553,12.0
554,15.0
555,13.0
556,16.0
557,16.0
558,14.0
559,17.0
560,15.0
561,14.0
562,12.0
563,15.0
564,13.0
565,14.0
566,15.0
567,17.0
568,14.0
569,15.0
